After 5000 iterations, best log-likelihood is -5110.061965
After 10000 iterations, best log-likelihood is -5035.755246
After 15000 iterations, best log-likelihood is -4923.861040
After 20000 iterations, best log-likelihood is -4770.882021
After 25000 iterations, best log-likelihood is -4696.838434
After 30000 iterations, best log-likelihood is -4651.845330
After 35000 iterations, best log-likelihood is -4602.158539
After 40000 iterations, best log-likelihood is -4575.890024
After 45000 iterations, best log-likelihood is -4540.159340
After 50000 iterations, best log-likelihood is -4492.762559
After 55000 iterations, best log-likelihood is -4477.315733
After 60000 iterations, best log-likelihood is -4463.947089
After 65000 iterations, best log-likelihood is -4450.041028
After 70000 iterations, best log-likelihood is -4438.351837
After 75000 iterations, best log-likelihood is -4415.645198
After 80000 iterations, best log-likelihood is -4363.580202
After 85000 iterations, best log-likelihood is -4334.323497
After 90000 iterations, best log-likelihood is -4314.127442
After 95000 iterations, best log-likelihood is -4314.127442
After 100000 iterations, best log-likelihood is -4285.177737
After 105000 iterations, best log-likelihood is -4279.310694
After 110000 iterations, best log-likelihood is -4278.618685
After 115000 iterations, best log-likelihood is -4266.662025
After 120000 iterations, best log-likelihood is -4262.835402
After 125000 iterations, best log-likelihood is -4251.347036
After 130000 iterations, best log-likelihood is -4242.702756
After 135000 iterations, best log-likelihood is -4221.633530
After 140000 iterations, best log-likelihood is -4205.593930
After 145000 iterations, best log-likelihood is -4125.705699
After 150000 iterations, best log-likelihood is -4117.626910
After 155000 iterations, best log-likelihood is -4117.626910
After 160000 iterations, best log-likelihood is -4105.136496
After 165000 iterations, best log-likelihood is -4083.236190
After 170000 iterations, best log-likelihood is -4078.586286
After 175000 iterations, best log-likelihood is -4068.939545
After 180000 iterations, best log-likelihood is -4051.767034
After 185000 iterations, best log-likelihood is -4051.257347
After 190000 iterations, best log-likelihood is -4051.257347
After 195000 iterations, best log-likelihood is -4051.257347
After 200000 iterations, best log-likelihood is -4051.257347
After 205000 iterations, best log-likelihood is -4051.124385
After 210000 iterations, best log-likelihood is -4051.124385
After 215000 iterations, best log-likelihood is -4044.747656
After 220000 iterations, best log-likelihood is -4019.676556
After 225000 iterations, best log-likelihood is -4019.676556
After 230000 iterations, best log-likelihood is -4019.676556
After 235000 iterations, best log-likelihood is -4019.453981
After 240000 iterations, best log-likelihood is -4018.761972
After 245000 iterations, best log-likelihood is -4010.883440
After 250000 iterations, best log-likelihood is -4006.488273
After 255000 iterations, best log-likelihood is -4000.802983
After 260000 iterations, best log-likelihood is -4000.802983
After 265000 iterations, best log-likelihood is -4000.802983
After 270000 iterations, best log-likelihood is -4000.802983
After 275000 iterations, best log-likelihood is -3990.027560
After 280000 iterations, best log-likelihood is -3990.027560
After 285000 iterations, best log-likelihood is -3983.245933
After 290000 iterations, best log-likelihood is -3982.400913
After 295000 iterations, best log-likelihood is -3982.400913
After 300000 iterations, best log-likelihood is -3982.400913
After 305000 iterations, best log-likelihood is -3973.515189
After 310000 iterations, best log-likelihood is -3973.515189
After 315000 iterations, best log-likelihood is -3973.515189
After 320000 iterations, best log-likelihood is -3953.704032
After 325000 iterations, best log-likelihood is -3953.704032
After 330000 iterations, best log-likelihood is -3946.606806
After 335000 iterations, best log-likelihood is -3946.606806
After 340000 iterations, best log-likelihood is -3900.491372
After 345000 iterations, best log-likelihood is -3894.114642
After 350000 iterations, best log-likelihood is -3881.495217
After 355000 iterations, best log-likelihood is -3881.495217
After 360000 iterations, best log-likelihood is -3881.495217
After 365000 iterations, best log-likelihood is -3867.931964
After 370000 iterations, best log-likelihood is -3867.931964
After 375000 iterations, best log-likelihood is -3867.931964
After 380000 iterations, best log-likelihood is -3861.555234
After 385000 iterations, best log-likelihood is -3861.555234
After 390000 iterations, best log-likelihood is -3861.555234
After 395000 iterations, best log-likelihood is -3861.555234
combined log-likelihood score = 39080.467188, mutation log-likelihood = -4793.422279, expression log-likelihood = 278751.581144
